int	string	string	float	float	int	float	float
Id	Desc	Path	Volumn	PanLevel	IsLoop	DelayTime	LifeTime
#主键	描述	路径	音量	2d和3d转换	是否循环（1循环0不循环）	延迟时间	保留时间
1	游戏加载	audio/map/denglu.unity3d	1	1	1	0	0
2	勇者大陆城镇背景音	audio/map/yongzhedalu_in.unity3d	1	1	1	0	-1
3	勇者大陆城外背景音	audio/map/yongzhedalu_out.unity3d	1	1	0	0	-1
4	狂战士展示音效	audio/skill/yx_denglu_kuangzhanshi.unity3d	1	1	0	0	-1
5	物品掉落-旋转	audio/goods/yx_diaoluo_xuanzhuan.unity3d	1	1	0	0	-1
6	物品掉落-金币	audio/goods/yx_diaoluo_jinbi.unity3d	1	1	0	0	-1
7	物品掉落-道具	audio/goods/yx_diaoluo_daojv.unity3d	1	1	0	0	-1
8	物品掉落-药水	audio/goods/yx_diaoluo_yaoshui.unity3d	1	1	0	0	-1
9	物品掉落-祝福宝石	audio/goods/yx_diaoluo_zhufu.unity3d	1	1	0	0	-1
10	物品掉落-拾取	audio/goods/yx_diaoluo_shiqu.unity3d	1	1	0	0	-1
11	行走-雪地	audio/npc/yx_xingzou_xuedi.unity3d	1	1	0	0	-1
12	行走-草地	audio/npc/yx_xingzou_caodi.unity3d	1	1	0	0	-1
13	行走-硬地	audio/npc/yx_xingzou_yingdi.unity3d	1	1	0	0	-1
14	UI-按钮点击	audio/ui/yx_ui_anniudianji.unity3d	1	1	0	0	-1
15	UI-按钮关闭	audio/ui/yx_ui_anniuguanbi.unity3d	1	1	0	0	-1
16	怪物-蛮牛怪-待机01	audio/monster/yx_m_manniuguai_daiji_01.unity3d	1	1	0	0	-1
17	怪物-蛮牛怪-待机02	audio/monster/yx_m_manniuguai_daiji_02.unity3d	1	1	0	0	-1
18	怪物-蛮牛怪-攻击01	audio/monster/yx_m_manniuguai_gongji_01.unity3d	1	1	0	0	-1
19	怪物-蛮牛怪-攻击02	audio/monster/yx_m_manniuguai_gongji_02.unity3d	1	1	0	0	-1
20	怪物-蛮牛怪-死亡	audio/monster/yx_m_manniuguai_siwang.unity3d	1	1	0	0	-1
21	怪物-猎犬怪-待机01	audio/monster/yx_m_liequanguai_daiji_01.unity3d	1	1	0	0	-1
