int	int	int	int	int	int	int
Id	MonsterCount	ExpRank1	ExpRank2	ExpRank3	ExpRank4	ExpRank5
#主键	需要击杀怪物数量	普通屠魔经验	优质屠魔经验	精良屠魔经验	传说屠魔经验	史诗屠魔经验
1	100	9000	9000	9000	9000	9000
2	100	9000	9000	9000	9000	9000
3	100	9000	9000	9000	9000	9000
4	100	9000	9000	9000	9000	9000
5	100	9000	9000	9000	9000	9000
6	100	9000	9000	9000	9000	9000
7	100	9000	9000	9000	9000	9000
8	100	9000	9000	9000	9000	9000
9	100	9000	9000	9000	9000	9000
10	100	9000	9000	9000	9000	9000
11	100	9000	9000	9000	9000	9000
12	100	9000	9000	9000	9000	9000
13	100	9000	9000	9000	9000	9000
14	100	9000	9000	9000	9000	9000
15	100	9000	9000	9000	9000	9000
16	100	9000	9000	9000	9000	9000
17	100	9000	9000	9000	9000	9000
18	100	9000	9000	9000	9000	9000
19	100	9000	9000	9000	9000	9000
20	100	9000	9000	9000	9000	9000
21	100	9000	9000	9000	9000	9000
22	100	9000	9000	9000	9000	9000
23	100	9000	9000	9000	9000	9000
24	100	9000	9000	9000	9000	9000
25	100	9000	9000	9000	9000	9000
26	100	9000	9000	9000	9000	9000
27	100	9000	9000	9000	9000	9000
28	100	9000	9000	9000	9000	9000
29	100	9000	9000	9000	9000	9000
30	100	9000	9000	9000	9000	9000
31	100	9000	9000	9000	9000	9000
32	100	9000	9000	9000	9000	9000
33	100	9000	9000	9000	9000	9000
34	100	9000	9000	9000	9000	9000
35	100	9000	9000	9000	9000	9000
36	100	9000	9000	9000	9000	9000
37	100	9000	9000	9000	9000	9000
38	100	9000	9000	9000	9000	9000
39	100	9000	9000	9000	9000	9000
40	100	9000	9000	9000	9000	9000
41	100	9000	9000	9000	9000	9000
42	100	9000	9000	9000	9000	9000
43	100	9000	9000	9000	9000	9000
44	100	9000	9000	9000	9000	9000
45	100	9000	9000	9000	9000	9000
46	100	9000	9000	9000	9000	9000
47	100	9891	12858	12858	12858	12858
48	100	9891	12858	12858	12858	12858
49	100	9891	12858	12858	12858	12858
50	100	9891	12858	12858	12858	12858
51	100	9891	12858	12858	12858	12858
52	100	9891	12858	12858	12858	12858
53	100	9891	12858	12858	12858	12858
54	100	9891	12858	12858	12858	12858
55	100	9891	12858	12858	12858	12858
56	100	16924	22000	22000	22000	22000
57	100	16924	22000	22000	22000	22000
58	100	16924	22000	22000	22000	22000
59	100	16924	22000	22000	22000	22000
60	100	16924	22000	22000	22000	22000
61	100	16924	22000	22000	22000	22000
62	100	16924	22000	22000	22000	22000
63	100	16924	22000	22000	22000	22000
