int	string	string	string
Id	Desc	Path	Author
#主键	描述	路径	制作人员
1	战士普攻1	Skill/ZS_PuTongGongJi	
2	战士普攻2	Skill/ZS_PuTongGongJi	
3	战士普攻3	Skill/ZS_PuTongGongJi	
4	战士普攻4	Skill/ZS_PuTongGongJi	
5	战士普攻5	Skill/ZS_PuTongGongJi	
6	战士车轮斩	Skill/ZS_CheLunZhan	
7	战士大风车	Skill/ZS_DaFengChe	
8	战士乱舞	Skill/ZS_LuanWu	
9	法师黑龙波	Skill/FS_HeiLongBo	
10	法师极光	Skill/FS_JiGuang	
11	法师星辰之怒	Skill/FS_XingChenZhiNu	
12	法师普攻1	Skill/FS_PuTongGongJi	
13	法师普攻2	Skill/FS_PuTongGongJi	
14	法师普攻3	Skill/FS_PuTongGongJi	
15	法师普攻4	Skill/FS_PuTongGongJi	
16	法师普攻5	Skill/FS_PuTongGongJi	
17	法师黑龙波奥义-炎龙术	Skill/FS_HeiLongBoAoyi	
18	法师瞬移	Skill/FS_ShunYi	
19	骷髅王普攻	Skill/Boss_KuLuWang_Attack	
20	骷髅王技能-回旋斩	Skill/Boss_KuLuWang_Skill01	
21	骷髅王技能-裂地斩	Skill/Boss_KuLuWang_Skill02	
22	骷髅王死亡	Player/GW/tx_kulouwang_die	
23	骷髅怪死亡	Player/GW/tx_kulouguai_siwang_01	
24	黄色光环-大	Player/GW/tx_gw_guanghuan_chengse_da	
25	黄色光环-中	Player/GW/tx_gw_guanghuan_chengse_zhong	
26	黄色光环-小	Player/GW/tx_gw_guanghuan_chengse_xiao	
27	蓝色光环-大	Player/GW/tx_gw_guanghuan_lanse_da	
28	蓝色光环-中	Player/GW/tx_gw_guanghuan_lanse_zhong	
29	蓝色光环-小	Player/GW/tx_gw_guanghuan_lanse_xiao	
30	寒冰魔死亡	Player/GW/tx_gw_hanbingmo_siwang	
31	减速特效	Player/GW/tx_gw_guanghuan_chengse_zhong	
32	宝箱存在特效-白色	DL/tx_dl_fubenbaoxiang_baiguang	
33	宝箱存在特效-金色	DL/tx_dl_fubenbaoxiang_huangjin	
34	宝箱打开特效-土	DL/tx_dl_fubenbaoxiang_baiguang_open	
35	宝箱打开特效-金弱	DL/tx_dl_fubenbaoxiang_huangjin_open_ruo	
36	宝箱打开特效-金强	DL/tx_dl_fubenbaoxiang_huangjin_open_qiang	
37	小型宠物捕捉状态特效	Player/CW/tx_cw_buzhuozhuangtai_01	
38	弓箭手-穿透箭	Skill/GS_ChuanTouJian	
39	弓箭手-冰封箭	Skill/GS_BingFengJian	
40	弓箭手-多重箭	Skill/GS_DuoChongJian	
41	弓箭手-天堂之箭	Skill/GS_TianTangZhiJian	
42	战士-雷霆裂闪	Skill/ZS_LeiTingLieShan	
43	宠物-技能-魔法箭	Skill/Pet_XiaoMo	
44	宠物-身上-小恶魔	Player/CW/tx_cw_xiaoemo_01	
45	弓箭手-普攻1	Skill/GS_PuTongGongJi	
46	弓箭手-普攻2	Skill/GS_PuTongGongJi	
