int	int	int	int	int	int	int
Id	Occupation	LevelMin	LevelMax	AttrIndex	ValueMin	ValueMax
#主键	职业	装备等级下限	装备等级上限	属性枚举	属性值下限	属性值上限
1	1	1	19	5	6	12
2	1	1	19	6	12	24
3	1	1	19	12	50	100
4	1	1	19	13	100	200
5	1	1	19	16	100	200
6	1	1	19	17	5	10
7	1	1	19	7	5	10
8	1	1	19	11	30	60
9	1	1	19	14	25	50
10	1	1	19	15	50	100
11	1	1	19	23	50	100
12	1	1	19	24	3	5
13	1	1	19	28	5	10
14	1	1	19	30	25	50
15	1	20	39	5	12	24
16	1	20	39	6	24	48
17	1	20	39	12	75	150
18	1	20	39	13	150	300
19	1	20	39	16	100	200
20	1	20	39	17	8	15
21	1	20	39	29	50	100
22	1	20	39	7	8	15
23	1	20	39	11	25	50
24	1	20	39	14	38	75
25	1	20	39	15	75	150
26	1	20	39	26	50	100
27	1	20	39	27	50	100
28	1	20	39	21	5	10
29	1	20	39	25	50	100
30	1	20	39	22	100	200
31	1	20	39	23	100	200
32	1	20	39	24	5	10
33	1	20	39	28	10	20
34	1	20	39	30	50	100
35	1	40	59	5	24	48
36	1	40	59	6	48	96
37	1	40	59	12	100	200
38	1	40	59	13	200	400
39	1	40	59	16	100	200
40	1	40	59	17	10	20
41	1	40	59	29	50	100
42	1	40	59	7	10	20
43	1	40	59	11	50	100
44	1	40	59	14	50	100
45	1	40	59	15	100	200
46	1	40	59	26	50	100
47	1	40	59	27	50	100
48	1	40	59	21	5	10
49	1	40	59	25	50	100
50	1	40	59	22	100	200
51	1	40	59	23	100	200
52	1	40	59	24	8	15
53	1	40	59	28	15	30
54	1	40	59	30	75	150
55	1	60	131	5	36	72
56	1	60	131	6	72	144
57	1	60	131	12	125	250
58	1	60	131	13	250	500
59	1	60	131	16	100	200
60	1	60	131	17	20	40
61	1	60	131	29	50	100
62	1	60	131	7	20	40
63	1	60	131	11	100	200
64	1	60	131	14	63	125
65	1	60	131	15	125	250
66	1	60	131	26	75	150
67	1	60	131	27	75	150
68	1	60	131	21	5	10
69	1	60	131	25	50	100
70	1	60	131	22	100	200
71	1	60	131	23	100	200
72	1	60	131	24	10	20
73	1	60	131	28	25	50
74	1	60	131	30	100	200
75	1	132	195	5	72	144
76	1	132	195	6	144	288
77	1	132	195	12	150	300
78	1	132	195	13	300	600
79	1	132	195	16	100	200
80	1	132	195	17	25	50
81	1	132	195	29	100	200
82	1	132	195	7	25	50
83	1	132	195	11	200	400
84	1	132	195	14	75	150
85	1	132	195	15	150	300
86	1	132	195	26	75	150
87	1	132	195	27	75	150
88	1	132	195	21	5	10
89	1	132	195	25	50	100
90	1	132	195	22	100	200
91	1	132	195	23	100	200
92	1	132	195	24	13	25
93	1	132	195	28	50	100
94	1	132	195	30	125	250
95	1	196	251	5	144	288
96	1	196	251	6	288	576
97	1	196	251	12	175	350
98	1	196	251	13	350	700
99	1	196	251	16	100	200
100	1	196	251	17	50	100
101	1	196	251	29	100	200
102	1	196	251	7	50	100
103	1	196	251	11	400	800
104	1	196	251	14	88	175
105	1	196	251	15	175	350
106	1	196	251	26	75	150
107	1	196	251	27	75	150
108	1	196	251	21	5	10
109	1	196	251	25	50	100
110	1	196	251	22	100	200
111	1	196	251	23	100	200
112	1	196	251	24	25	50
113	1	196	251	28	75	150
114	1	196	251	30	150	300
115	1	252	300	5	288	576
116	1	252	300	6	576	1152
117	1	252	300	12	200	400
118	1	252	300	13	400	800
119	1	252	300	16	100	200
120	1	252	300	17	75	150
121	1	252	300	29	100	200
122	1	252	300	7	75	150
123	1	252	300	11	800	1600
124	1	252	300	14	100	200
125	1	252	300	15	200	400
126	1	252	300	26	75	150
127	1	252	300	27	75	150
128	1	252	300	21	5	10
129	1	252	300	25	50	100
130	1	252	300	22	100	200
131	1	252	300	23	100	200
132	1	252	300	24	50	100
133	1	252	300	28	100	200
134	1	252	300	30	175	350
135	2	1	19	5	6	12
136	2	1	19	6	12	24
137	2	1	19	12	50	100
138	2	1	19	13	100	200
139	2	1	19	16	100	200
140	2	1	19	17	5	10
141	2	1	19	7	5	10
142	2	1	19	11	30	60
143	2	1	19	14	25	50
144	2	1	19	15	50	100
145	2	1	19	23	50	100
146	2	1	19	24	3	5
147	2	1	19	28	5	10
148	2	1	19	30	25	50
149	2	20	39	5	12	24
150	2	20	39	6	24	48
151	2	20	39	12	75	150
152	2	20	39	13	150	300
153	2	20	39	16	100	200
154	2	20	39	17	8	15
155	2	20	39	29	50	100
156	2	20	39	7	8	15
157	2	20	39	11	25	50
158	2	20	39	14	38	75
159	2	20	39	15	75	150
160	2	20	39	26	50	100
161	2	20	39	27	50	100
162	2	20	39	21	5	10
163	2	20	39	25	50	100
164	2	20	39	22	100	200
165	2	20	39	23	100	200
166	2	20	39	24	5	10
167	2	20	39	28	10	20
168	2	20	39	30	50	100
169	2	40	59	5	24	48
170	2	40	59	6	48	96
171	2	40	59	12	100	200
172	2	40	59	13	200	400
173	2	40	59	16	100	200
174	2	40	59	17	10	20
175	2	40	59	29	50	100
176	2	40	59	7	10	20
177	2	40	59	11	50	100
178	2	40	59	14	50	100
179	2	40	59	15	100	200
180	2	40	59	26	50	100
181	2	40	59	27	50	100
182	2	40	59	21	5	10
183	2	40	59	25	50	100
184	2	40	59	22	100	200
185	2	40	59	23	100	200
186	2	40	59	24	8	15
187	2	40	59	28	15	30
188	2	40	59	30	75	150
189	2	60	131	5	36	72
190	2	60	131	6	72	144
191	2	60	131	12	125	250
192	2	60	131	13	250	500
193	2	60	131	16	100	200
194	2	60	131	17	20	40
195	2	60	131	29	50	100
196	2	60	131	7	20	40
197	2	60	131	11	100	200
198	2	60	131	14	63	125
199	2	60	131	15	125	250
200	2	60	131	26	75	150
201	2	60	131	27	75	150
202	2	60	131	21	5	10
203	2	60	131	25	50	100
204	2	60	131	22	100	200
205	2	60	131	23	100	200
206	2	60	131	24	10	20
207	2	60	131	28	25	50
208	2	60	131	30	100	200
209	2	132	195	5	72	144
210	2	132	195	6	144	288
211	2	132	195	12	150	300
212	2	132	195	13	300	600
