int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
Id	MarkDes	Model	Occupation	EquipType	SuitId	RarityMin	RarityMax	ExistRedGem	ExistGreenGem	ExistBlueGem	ExistOrangeGem	Str	Wit	AtkMin	AtkMax	MtkMin	MtkMax	CrtChance	CrtBonus	BrilliantChance	DefPierce	MdefPierce	IgnoreAllDef	DoubleChance	AllAtkBonus	Dex	Vit	Def	Mdef	Hp	CrtChanceResist	CrtBonusResist	HpBonus	DmgReduce	MoveSpeed	ReboundDmg	BonusToArmor	BonusToMonster	ExpUp	KillCure	MF	StrIntensify	WitIntensify	AtkMinIntensify	AtkMaxIntensify	MtkMinIntensify	MtkMaxIntensify	CrtChanceIntensify	CrtBonusIntensify	BrilliantChanceIntensify	DefPierceIntensify	MdefPierceIntensify	IgnoreAllDefIntensify	DoubleChanceIntensify	AllAtkBonusIntensify	DexIntensify	VitIntensify	DefIntensify	MdefIntensify	HpIntensify	CrtChanceResistIntensify	CrtBonusResistIntensify	HpBonusIntensify	DmgReduceIntensify	MoveSpeedIntensify	ReboundDmgIntensify	BonusToArmorIntensify	BonusToMonsterIntensify	ExpUpIntensify	KillCureIntensify	MFIntensify	StreamLightId
#主键和外键	程序不用的注释数据	装备模型文件	可穿戴职业枚举	装备类型	所属套装id	装备稀有度下限	装备稀有度上限	是否有红色凹槽	是否有绿色凹槽	是否有蓝色凹槽	是否有橙色凹槽	力量	智力	物攻下限	物攻上限	魔攻下限	魔攻上限	幸运一击概率	幸运一击倍率	卓越一击概率	物理护甲穿透	魔法护甲穿透	无视防御概率	双倍伤害概率	攻击力增加百分比	敏捷	体力	物理防御	魔法防御	生命值上限	抗幸运一击概率	抗幸运一击伤害	生命值提升百分比	伤害减少百分比	移动速度	反伤比例	对BOSS护甲伤害提升	对怪物伤害提升	经验提升	击杀怪物后恢复生命	掉宝加成值	力量强化值	智力强化值	物攻下限强化值	物攻上限强化值	魔攻下限强化值	魔攻上限强化值	幸运一击概率/10000强化值	幸运一击倍率强化值	卓越一击概率/10000强化值	物理护甲穿透强化值	魔法护甲穿透强化值	无视防御概率强化值	双倍伤害概率强化值	攻击力增加百分比强化值	敏捷强化值	体力强化值	物理防御强化值	魔法防御强化值	生命上限强化值	抗幸运一击概率强化值	抗幸运一击伤害强化值	生命值提升百分比强化值	伤害减少百分比强化值	移动速度强化值	反伤比例强化值	对BOSS护甲伤害提升强化值	对怪物伤害提升强化值	经验提升强化值	击杀怪物后恢复生命强化值	掉宝加成值强化值	流光ID组(ID不能为0)如n,则n至n+13表示该装备的+0至+13的流光效果数据的id
1			1_2_3	4	1	1	3	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	
2			1_2_3	4	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	
3			1_2_3	4	1	1	3	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	
5			1_2_3	4	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	40	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	
6			1_2_3	4	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	50	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	
7			1_2_3	4	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	60	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	
8			1_2_3	4	1	1	3	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	70	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	0	
9			1_2_3	4	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	
