string	string	string	string
Key	Value	ValueType	Remark
#主键	值	值类型(作为数据检查依据)	备注
UnattunedChance1	0	int	未鉴定白 : 常量表UnattunedChance1
UnattunedChance2	0	int	未鉴定绿 : 常量表UnattunedChance2
UnattunedChance3	30	int	未鉴定蓝 : 常量表UnattunedChance3
UnattunedChance4	50	int	未鉴定紫 : 常量表UnattunedChance4
UnattunedChance5	100	int	未鉴定橙 : 常量表UnattunedChance5
StrAtkMin	1	int	每点力量提供小攻
StrAtkMax	2	int	每点力量提供大攻
DexDef	1	int	每点敏捷提供物防
DexMdef	1	int	每点敏捷提供魔防
WitMtkMin	1	int	每点智力提供小魔攻
WitMtkMax	2	int	每点智力提供大魔攻
VitLife	10	int	每点体力提供生命上限
IntensifyLimit1	7	int	稀有度为1的装备强化上限
IntensifyLimit2	7	int	稀有度为2的装备强化上限
IntensifyLimit3	9	int	稀有度为3的装备强化上限
IntensifyLimit4	11	int	稀有度为4的装备强化上限
IntensifyLimit5	13	int	稀有度为5的装备强化上限
PetQualityBonus1	1000	int	宠物品质加成普通 : 基础四维*PetQualityBonus1,数值表示提升了原品质之万分之多少, 如1000, 表示是基础值的1.1倍
PetQualityBonus2	2000	int	宠物品质加成优秀 : 基础四维*PetQualityBonus2,数值表示提升了原品质之万分之多少, 如1000, 表示是基础值的1.1倍
PetQualityBonus3	3000	int	宠物品质加成精良 : 基础四维*PetQualityBonus3,数值表示提升了原品质之万分之多少, 如1000, 表示是基础值的1.1倍
PetQualityBonus4	4000	int	宠物品质加成完美 : 基础四维*PetQualityBonus4,数值表示提升了原品质之万分之多少, 如1000, 表示是基础值的1.1倍
PetQualityBonus5	5000	int	宠物品质加成无双 : 基础四维*PetQualityBonus5,数值表示提升了原品质之万分之多少, 如1000, 表示是基础值的1.1倍
PetDowerBonus1	1000	int	宠物天赋加成普通 : 基础四维*PetDowerBonus1,数值表示提升了原品质之万分之多少, 如1000, 表示是基础值的1.1倍
