int	string	int
Id	TargetList	GoldPrice
#主键	转换目标列表	金币价格
40108	40112_40113_40114	1
20001	20009_20018_16	2
20002	20010_20019_17	3
20003	20011_20020_18	4
20004	20012_20021_19	5
20005	20013_20022_20	6
20006	20014_20023_21	7
20007	20015_20024_22	8
20008	20016_20025_23	9
2	20017_20026_24	10
40112	40108_40113_40114	1
20009	20001_20018_16	2
20010	20002_20019_17	3
20011	20003_20020_18	4
20012	20004_20021_19	5
20013	20005_20022_20	6
20014	20006_20023_21	7
20015	20007_20024_22	8
20016	20008_20025_23	9
20017	2_20026_24	10
40113	40108_40112_40114	1
20018	20001_20009_16	2
20019	20002_20010_17	3
20020	20003_20011_18	4
20021	20004_20012_19	5
20022	20005_20013_20	6
20023	20006_20014_21	7
20024	20007_20015_22	8
20025	20008_20016_23	9
20026	2_20017_24	10
40114	40108_40112_40113	1
16	20001_20009_20018	2
17	20002_20010_20019	3
18	20003_20011_20020	4
19	20004_20012_20021	5
20	20005_20013_20022	6
21	20006_20014_20023	7
22	20007_20015_20024	8
23	20008_20016_20025	9
24	2_20017_20026	10
