int	int	int	string	string
Id	GemType	GemRank	GemAttrList	GemAttrValueList
#主键	宝石类型	宝石等级(1-10)	宝石属性值	宝石属性值
40108	1	1	1	10
20001	1	2	1	20
20002	1	3	1	30
20003	1	4	1	40
20004	1	5	1	50
20005	1	6	1	60
20006	1	7	1	70
20007	1	8	1	80
20008	1	9	1	90
2	1	10	1	100
40112	2	1	2	10
20009	2	2	2	20
20010	2	3	2	30
20011	2	4	2	40
20012	2	5	2	50
20013	2	6	2	60
20014	2	7	2	70
20015	2	8	2	80
20016	2	9	2	90
20017	2	10	2	100
40113	3	1	3	10
20018	3	2	3	20
20019	3	3	3	30
20020	3	4	3	40
20021	3	5	3	50
20022	3	6	3	60
20023	3	7	3	70
20024	3	8	3	80
20025	3	9	3	90
20026	3	10	3	100
40114	4	1	4	10
16	4	2	4	20
17	4	3	4	30
18	4	4	4	40
19	4	5	4	50
20	4	6	4	60
21	4	7	4	70
22	4	8	4	80
23	4	9	4	90
24	4	10	4	100
