int	int	string	string	int	int	string	int
Id	Rank	ItemList	ItemCount	Money	SucChance	BackRank	Guarantee
#主键	装备当前强化等级	所需道具列表	所需道具数量	所需消耗金币数量	强化成功率	如果强化失败, 可能减少多少强化等级	保底成功次数, 如果填写了N, 则在失败N次之后的第N+1次必定成功
1	0	40115	1	5000	10000		0
2	1	40115	1	10000	10000		0
3	2	40115	1	15000	10000		0
4	3	40115_40117	1_1	20000	1000		 
5	4	40115_40117	1_1	25000	1000		2
6	5	40115_40117	1_1	30000	1000		2
7	6	40115_40117	1_1	35000	1000	1	4
8	7	40115_40117	1_1	40000	1000	1_2	4
9	8	40115_40117	1_1	50000	1000	1_2_3	4
10	9	40115_40117	2_2	100000	1000		10
11	10	40115_40117_40110	3_3_1	200000	1000		15
12	11	40115_40117_40110	4_4_2	300000	500		20
13	12	40115_40117_40110	5_5_3	500000	200		25
