int	string	int	int	string	string	string	string	int	int	int	int	int	int
Id	MarkDes	Type	ClientTabIndex	Name	Icon	DropModel	Des	Rank	CanSell	SellPrice	CanDropByKill	Level	MaxStack
#主键	程序不用的注释	类型枚举	对应背包中tab标签按钮	名称	图标	模型文件	描述	稀有度等级	是否可出售	出售价格	是否会因被其他玩家击杀而掉落	物品等级	在背包中堆叠数量上限
12		12	0	金币	ItemAtlas:item_money	equip/dl_jinbidui.unity3d	金币12的描述内容	1	0	0	0	0	99
3		3	2	力量增长药剂	ItemAtlas:item_magic	equip/dl_hongyaoshui.unity3d	使用后，增加100点力量。\n效果持续1小时。	3	1	400	0	1	99
5	任务物品：老王家的地契	5	3	女神之泪	ItemAtlas:item_juanzhou	equip/dl_juanzhou.unity3d	奇迹女神为涂炭的生灵流下了怜悯的泪水.	1	1	600	0	1	99
6		6	0	小恶魔宝宝	ItemAtlas:cw_xiaoemo	pet/pet_xiaoemo.unity3d	宠物6的描述内容	2	1	700	0	1	1
7		7	2	奇迹石	ItemAtlas:item_renwujineng	equip/dl_jinengshu_002.unity3d	技能升级材料7的描述内容	3	1	800	0	1	99
8		8	2	宠物技能升级材料8	ItemAtlas:item_renwujineng	equip/dl_jinengshu_002.unity3d	宠物技能升级材料8的描述内容	4	1	900	0	1	99
9		9	2	还童丹	ItemAtlas:item_renwujineng	equip/dl_jinengshu_002.unity3d	宠物培养材料9的描述内容	1	1	1000	0	1	99
10		10	2	强化装备材料	ItemAtlas:item_magic	equip/dl_jinengshu_002.unity3d	一种很常见的强化装备材料（测试）	1	1	1000	0	1	99
4	测试期间剑士礼包	4	2	至尊礼包	ItemAtlas:item_chest	equip/dl_juanzhou.unity3d	打开后，能获得现有的一整套道具	4	0	0	0	1	1
25	测试期间法师礼包	4	2	至尊礼包	ItemAtlas:item_chest	equip/dl_juanzhou.unity3d	打开后，能获得现有的一整套道具	4	0	0	0	1	1
26	测试期间弓手礼包	4	2	至尊礼包	ItemAtlas:item_chest	equip/dl_juanzhou.unity3d	打开后，能获得现有的一整套道具	4	0	0	0	1	1
40001		1	1	装备 40001	EquipAtlas:ZS_K_04_head	equip/zs_k_04_head.unity3d	装备 40001的描述内容	4	1	100	0	1	1
40002		1	1	装备 40002	EquipAtlas:ZS_K_04_chest	equip/zs_k_04_chest.unity3d	装备 40002的描述内容	4	1	1100	0	1	1
40003		1	1	装备 40003	EquipAtlas:ZS_K_04_hand	equip/zs_k_04_hand.unity3d	装备 40003的描述内容	4	1	1200	0	1	1
40004		1	1	装备 40004	EquipAtlas:ZS_K_04_leg	equip/zs_k_04_leg.unity3d	装备 40004的描述内容	4	1	1300	0	1	1
40005		1	1	装备 40005	EquipAtlas:ZS_K_04_foot	equip/zs_k_04_foot.unity3d	装备 40005的描述内容	4	1	1400	0	1	1
40006		1	1	装备 40006	EquipAtlas:ZS_Weapon_Sword_04	equip/zs_weapon_sword_04.unity3d	装备 40006的描述内容	4	1	1500	0	1	1
40009		1	1	黑龙王之煞	EquipAtlas:zs_chibang_003	equip/zs_wing_baofengzhiyi_002.unity3d	凡人，你终将被毁灭！	4	1	1500	0	1	1
40301		1	1	勇气头盔	EquipAtlas:ZS_K_04_head	equip/zs_k_04_head.unity3d	只有一个洞	4	1	1500	0	1	1
40302		1	1	勇气战甲	EquipAtlas:ZS_K_04_chest	equip/zs_k_04_chest.unity3d		4	1	1500	0	1	1
40303		1	1	勇气护手	EquipAtlas:ZS_K_04_hand	equip/zs_k_04_hand.unity3d		4	1	1500	0	1	1
40304		1	1	勇气护腿	EquipAtlas:ZS_K_04_leg	equip/zs_k_04_leg.unity3d		4	1	1500	0	1	1
40305		1	1	勇气战靴	EquipAtlas:ZS_K_04_foot	equip/zs_k_04_foot.unity3d		4	1	1500	0	1	1
40101	测试礼包里配置	1	1	红龙王头盔	EquipAtlas:ZS_K_01_head	equip/zs_k_01_head.unity3d	生命之龙阿雷丽斯塔萨——屠龙者留	4	1	1500	0	1	1
40102	测试礼包里配置	1	1	红龙王战甲	EquipAtlas:ZS_K_01_chest	equip/zs_k_01_chest.unity3d		4	1	1500	0	1	1
40103	测试礼包里配置	1	1	红龙王护手	EquipAtlas:ZS_K_01_hand	equip/zs_k_01_hand.unity3d		4	1	1500	0	1	1
40104	测试礼包里配置	1	1	红龙王护腿	EquipAtlas:ZS_K_01_leg	equip/zs_k_01_leg.unity3d		4	1	1500	0	1	1
40105	测试礼包里配置	1	1	红龙王战靴	EquipAtlas:ZS_K_01_foot	equip/zs_k_01_foot.unity3d	真的很臭	4	1	1500	0	1	1
40107		3	2	治疗药水	ItemAtlas:item_health	equip/dl_hongyaoshui.unity3d	装备 40107的描述内容	2	1	1500	0	1	99
40109		7	2	奥义卷轴：飚	ItemAtlas:item_juanzhou	equip/dl_juanzhou.unity3d	用来提升剑刃风暴的奥义。	3	1	1500	0	1	99
40110		10	2	玛雅宝石	ItemAtlas:item_maya	equip/dl_mayabaoshi.unity3d	用来升级装备的材料。	4	1	1500	0	1	99
40111		8	2	宠物技能:护主之心	ItemAtlas:item_renwujineng	equip/dl_jinengshu_002.unity3d	宠物用来领悟护主之心的技能书。	3	1	1500	0	1	99
40115		10	2	祝福宝石	ItemAtlas:item_zhufu	equip/dl_zhufubaoshi.unity3d	用来强化装备的材料。升星1-7级。	3	1	1500	0	1	99
40116	测试礼包里配置	1	1	龙骨巨晶剑	EquipAtlas:ZS_Weapon_Sword_04	equip/zs_weapon_sword_04.unity3d	武林至尊，宝刀屠龙，号令江湖，莫敢不从。	3	1	1500	0	1	1
40117		10	2	灵魂宝石	ItemAtlas:item_linghun	equip/dl_linghunbaoshi.unity3d	用来强化装备的材料。升星8-11级。	4	1	1500	0	1	99
