int	int	string	int	string	string	string	int	int	int	int	int	int	string	string	string	int	string	string	string	int	int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float	int	float	int	int	float	float	string	int
Id	Levle	Des	Exp	Name	Model	SkillId	DeadEffect	DeadSound	AttackSound	WaitSound	HitSound	IsUseWorldDrop	DropItemList	DropChanceList	DropCountList	DropCount	BlueDropItemList	BlueDropChanceList	BlueDropCountList	BlueDropCount	BlueMfBouns	GoldDropItemList	GoldDropChanceList	GoldDropCountList	GoldDropCount	GoldMfBouns	EquipmentRarity1Chance	EquipmentRarity2Chance	EquipmentRarity3Chance	EquipmentRarity4Chance	EquipmentRarity5Chance	Str	Wit	AtkMin	AtkMax	MtkMin	MtkMax	CrtChance	CrtBonus	BrilliantChance	DefPierce	MdefPierce	IgnoreAllDef	DoubleChance	AllAtkBonus	Dex	Vit	Def	Mdef	Hp	HpNum	CrtChanceResist	CrtBonusResist	HpBonus	DmgReduce	ReboundDmg	BonusToArmor	BonusToMonster	ExpUp	KillCure	MF	DamageType	BossShield	EffectScale	ViewRange	ShadowScale	FollowRange	MoveSpeed	AnimationSpeed	EliteScale	HaloList	HaloScaleType
#主键	等级	程序不用的数据备注	提供经验值	名称	模型文件路径	怪物拥有的技能	死亡效果（没有为空）	死亡音效（音效表ID）	攻击音效（音效表ID）	待机音效（音效表ID）	被击音效(音效ID)	是否使用世界掉落数据	掉落道具列表	掉落道具概率(/10000)	掉落数量列表	掉落次数	蓝色精英掉落道具列表	蓝色精英掉落道具概率(/10000)	蓝色精英掉落数量列表	蓝色精英掉落次数	蓝色精英怪额外附加的掉宝值, 同角色的MF值作用	金色精英掉落道具列表	金色精英掉落道具概率(/10000)	金色精英掉落数量列表	金色精英掉落次数	金色精英怪额外附加的掉宝值, 同角色的MF值作用	稀有度1装备掉落权重	稀有度2装备掉落权重	稀有度3装备掉落权重	稀有度4装备掉落权重	稀有度5装备掉落权重	力量	智力	物攻下限	物攻上限	魔攻下限	魔攻上限	幸运一击概率	幸运一击倍率	卓越一击概率	物理护甲穿透	魔法护甲穿透	无视防御概率	双倍伤害概率	攻击力增加百分比	敏捷	体力	物理防御	魔法防御	生命值上限	血条数量	抗幸运一击概率	抗幸运一击伤害	生命值提升百分比	伤害减少百分比	反伤比例	对BOSS护甲伤害提升	对怪物伤害提升	经验提升	击杀怪物后恢复生命	掉宝加成值	怪物伤害类型1物理2魔法	BOO怪护盾(护甲)最大值	特效缩放	视野范围半径, 单位米, 对于该范围内的敌对目标进行攻击AI	阴影缩放值	怪物追击最大范围(米)	移动速度(厘米/秒)	动画速度	精英怪缩放尺寸	怪物包含的光环列表, 多个光环使用下划线分隔, 刷新时随机取1个	光环尺寸
1	40	勇者大陆小怪-1（最弱）	95	蜘蛛	monster/monster_005.unity3d	99001					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	20000	1	0	0	0	0	0	0	0	0	0	0	1	0	0.4	5	1	15	300	1	1.5		1
2	45	勇者大陆小怪-2	341	幼龙	monster/monster_007.unity3d	99002					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	50000	1	0	0	0	0	0	0	0	0	0	0	1	0	0.4	5	1	15	300	1	1.5		1
3	50	勇者大陆小怪-3	963	蛮牛怪	monster/monster_002.unity3d	99003		20	18	16	36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	70000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	200	1.5	1.5		2
4	55	勇者大陆小怪-4	2590	猎犬怪	monster/monster_003.unity3d	99004		25	23	21	36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	90000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	220	1.7	1.5		2
5	60	勇者大陆小怪-5	4329	黑巫师	monster/monster_heiwushi.unity3d	99005					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	100000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	200	1.7	1.5		2
6	65	勇者大陆小怪-6	5103	巨人	monster/monster_004.unity3d	99006		32	30	28	36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	120000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	200	1.5	1.5		2
7	70	勇者大陆小怪-7	7346	骷髅兵	monster/monster_006.unity3d	99007	23	27	31	26	36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	150000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	200	1.7	1.5		2
8	80	勇者大陆小怪-8	8189	镰刀骷髅兵	monster/monster_001.unity3d	99008	23				36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	200000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	200	1.7	1.5		2
