int	int
Id	Exp
#ID	升级所需经验
1	50
2	100
3	120
4	150
5	200
6	250
7	300
8	350
9	1680
10	3010
11	4340
12	5670
13	7000
14	8330
15	9660
16	10990
17	12320
18	13650
19	14980
20	16310
21	17640
22	18970
23	20300
24	21630
25	22960
26	24290
27	25620
28	26950
29	28280
30	29610
31	30940
32	32270
33	33600
34	34930
35	36260
36	37590
37	38920
38	40250
39	41580
40	42910
41	44240
42	45570
43	46900
44	48230
45	49560
46	50890
47	150000
48	152183
49	154366
50	156549
51	158732
52	160915
53	163098
54	165281
55	167464
56	205000
57	209306
58	213612
59	217918
60	222224
61	226530
62	230836
63	235142
64	239448
65	265000
66	272825
67	280650
68	288475
69	296300
70	304125
71	311950
72	319775
73	327600
74	360000
75	370000
76	380000
77	390000
78	400000
79	410000
80	420000
81	430000
82	440000
83	490000
84	500834
85	511668
86	522502
87	533336
88	544170
89	555004
90	565838
91	576672
92	620000
93	631667
94	643334
95	655001
96	666668
97	678335
98	690002
99	701669
100	713336
101	1130000
102	1141961
103	1153922
104	1165883
105	1177844
106	1189805
107	1201766
108	1213727
109	1225688
110	1237649
111	1249610
112	1261571
113	1273532
114	1285493
115	1297454
116	1309415
117	1321376
118	1333337
119	1345298
120	1357259
121	1369220
122	1381181
123	1393142
124	1405103
125	1417064
126	1429025
127	1440986
128	1452947
129	1464908
130	1476869
131	1488830
132	1500791
133	1512752
134	1524713
135	1536674
136	3935000
137	3947121
138	3959242
139	3971363
140	3983484
141	3995605
142	4007726
143	4019847
144	4031968
145	4044089
146	4056210
147	4068331
148	4080452
149	4092573
150	4104694
151	4116815
152	4128936
153	4141057
154	4153178
155	4165299
156	4177420
157	4189541
158	4201662
159	6650000
160	6663572
161	6677144
162	6690716
163	6704288
164	6717860
165	6731432
166	6745004
167	6758576
168	6772148
169	6785720
170	6799292
171	6812864
172	6826436
173	6840008
174	6853580
175	6867152
176	6880724
177	6894296
178	6907868
179	6921440
180	7790000
181	7804651
182	7819302
183	7833953
184	7848604
185	7863255
186	7877906
187	7892557
188	7907208
189	7921859
190	7936510
191	7951161
192	7965812
193	7980463
194	7995114
195	8009765
196	8024416
197	8039067
198	8053718
199	8068369
200	8083020
201	8680000
202	8695334
203	8710668
204	8726002
205	8741336
206	8756670
207	8772004
208	8787338
209	8802672
210	8818006
211	8833340
212	8848674
213	8864008
214	8879342
215	8894676
216	8910010
217	8925344
218	8940678
219	8956012
220	8971346
221	8986680
222	9060000
223	9076620
224	9093240
225	9109860
226	9126480
227	9143100
228	9159720
229	9176340
230	9192960
231	9209580
232	9226200
233	9242820
234	9259440
235	9276060
236	9292680
237	9309300
238	9325920
239	9342540
240	9359160
241	9375780
242	9392400
243	13080000
244	13097905
245	13115810
246	13133715
247	13151620
248	13169525
249	13187430
250	13205335
251	13223240
252	13241145
253	13259050
254	13276955
255	13294860
256	13312765
257	13330670
258	13348575
259	15595000
260	15613352
261	15631704
262	15650056
263	15668408
264	15686760
265	15705112
266	15723464
267	15741816
268	15760168
269	15778520
270	15796872
271	15815224
272	15833576
273	16260000
274	16279830
275	16299660
276	16319490
277	16339320
278	16359150
279	16378980
280	16398810
281	16418640
282	16438470
283	16458300
284	16478130
285	16497960
286	16517790
287	34225000
288	34245239
289	34265478
290	34285717
291	34305956
292	34326195
293	34346434
294	49945000
295	49967000
296	49989000
297	50011000
298	50033000
299	50055000
