int	int	int	int	int
Id	LevelupExp	ForceLimit	ReduceArgument	PetCarryLimit
#主键	升级所需经验值(消耗式升级)	当前等级精力上限	攻击减伤系数	可携带宠物数量上限
1	50	60	1400	4
2	100	61	1400	4
3	120	61	1400	4
4	150	62	1400	4
5	200	62	1400	4
6	250	63	1400	4
7	300	63	1400	4
8	350	64	1400	4
9	1680	64	1400	4
10	3010	65	1400	4
11	4340	65	1400	4
12	5670	66	1400	4
13	7000	66	1400	4
14	8330	67	1400	4
15	9660	67	1400	4
16	10990	68	1400	4
17	12320	68	1400	4
18	13650	69	1400	4
19	14980	69	1400	4
20	16310	70	1564	4
21	17640	70	1728	4
22	18970	71	1892	4
23	20300	71	2056	4
24	21630	72	2220	4
25	22960	72	2384	4
26	24290	73	2548	4
27	25620	73	2712	4
28	26950	74	2876	4
29	28280	74	3040	4
30	29610	75	3204	4
31	30940	75	3368	4
32	32270	76	3532	4
33	33600	76	3696	4
34	34930	77	3860	4
35	36260	77	4024	4
36	37590	78	4188	4
37	38920	78	4352	4
38	40250	79	4516	4
39	41580	79	4680	4
40	42910	80	4949	4
41	44240	80	5219	4
42	45570	81	5488	4
43	46900	81	5758	4
44	48230	82	6027	4
45	49560	82	6297	4
46	50890	83	6566	4
47	150000	83	6836	4
48	152183	84	7105	4
49	154366	84	7375	4
50	156549	85	7644	5
51	158732	85	7914	5
52	160915	86	8183	5
53	163098	86	8453	5
54	165281	87	8722	5
55	167464	87	8992	5
56	205000	88	9261	5
57	209306	88	9531	5
58	213612	89	9800	5
59	217918	89	10070	5
60	222224	90	10226	5
61	226530	90	10383	5
62	230836	91	10539	5
63	235142	91	10696	5
64	239448	92	10853	5
65	265000	92	11009	5
66	272825	93	11166	5
67	280650	93	11323	5
68	288475	94	11479	5
69	296300	94	11636	5
70	304125	95	11792	5
71	311950	95	11949	5
72	319775	96	12106	5
73	327600	96	12262	5
74	360000	97	12419	5
75	370000	97	12576	5
76	380000	98	12732	5
77	390000	98	12889	5
78	400000	99	13045	5
79	410000	99	13202	5
80	420000	100	13359	5
81	430000	100	13515	5
82	440000	101	13672	5
83	490000	101	13829	5
84	500834	102	13985	5
85	511668	102	14142	5
86	522502	103	14298	5
87	533336	103	14455	5
88	544170	104	14612	5
89	555004	104	14768	5
90	565838	105	14925	5
91	576672	105	15082	5
92	620000	106	15238	5
93	631667	106	15395	5
94	643334	107	15551	5
95	655001	107	15708	5
96	666668	108	15865	5
97	678335	108	16021	5
98	690002	109	16178	5
99	701669	109	16335	5
100	713336	110	16491	6
101	1130000	110	16648	6
102	1141961	111	16804	6
103	1153922	111	16961	6
104	1165883	112	17118	6
105	1177844	112	17274	6
106	1189805	113	17431	6
107	1201766	113	17588	6
108	1213727	114	17744	6
109	1225688	114	17901	6
110	1237649	115	18057	6
111	1249610	115	18214	6
112	1261571	116	18371	6
113	1273532	116	18527	6
114	1285493	117	18684	6
115	1297454	117	18841	6
116	1309415	118	18997	6
117	1321376	118	19154	6
118	1333337	119	19310	6
119	1345298	119	19467	6
120	1357259	120	19624	6
121	1369220	120	19780	6
122	1381181	121	19937	6
123	1393142	121	20094	6
124	1405103	122	20250	6
125	1417064	122	20407	6
126	1429025	123	20563	6
127	1440986	123	20720	6
128	1452947	124	20877	6
129	1464908	124	21033	6
130	1476869	125	21190	6
131	1488830	125	21347	6
132	1500791	126	21679	6
133	1512752	126	22011	6
134	1524713	127	22343	6
135	1536674	127	22675	6
136	3935000	128	23007	6
137	3947121	128	23339	6
138	3959242	129	23671	6
139	3971363	129	24004	6
140	3983484	130	24336	6
141	3995605	130	24668	6
142	4007726	131	25000	6
143	4019847	131	25332	6
144	4031968	132	25664	6
145	4044089	132	25996	6
146	4056210	133	26329	6
147	4068331	133	26661	6
148	4080452	134	26993	6
149	4092573	134	27325	6
150	4104694	135	27657	7
151	4116815	135	27989	7
152	4128936	136	28321	7
153	4141057	136	28654	7
154	4153178	137	28986	7
155	4165299	137	29318	7
156	4177420	138	29650	7
157	4189541	138	29982	7
158	4201662	139	30314	7
159	6650000	139	30646	7
160	6663572	140	30979	7
161	6677144	140	31311	7
162	6690716	141	31643	7
163	6704288	141	31975	7
164	6717860	142	32307	7
165	6731432	142	32639	7
166	6745004	143	32971	7
167	6758576	143	33304	7
168	6772148	144	33636	7
169	6785720	144	33968	7
170	6799292	145	34300	7
171	6812864	145	34632	7
172	6826436	146	34964	7
173	6840008	146	35296	7
174	6853580	147	35629	7
175	6867152	147	35961	7
176	6880724	148	36293	7
177	6894296	148	36625	7
178	6907868	149	36957	7
179	6921440	149	37289	7
180	7790000	150	37621	7
181	7804651	150	37954	7
182	7819302	151	38286	7
183	7833953	151	38618	7
184	7848604	152	38950	7
