int	string	string	int	int	int	int	float	float	float	float	float	int	int	int	int	string	string	string	string	string	string	string	string	float	float	string	int	string	string	string	string
Id	Desc	AinmName	AnimCondition	NextAnimId	EffectSID	IsFellowOwner	Speed	ActTime	EffectTime	ComboTime	SkillTime	RockerTurn	RockerMove	SelfMoveDirection	Attacktype	Hitstime	Distance	MoveTimes	Move	Movelast	Repel	RepelLast	FloatEnemy	Hitrecover	Hitrecovertime	SoundID	HitSound	SoundTimes	ShakeMoment	ShakeTimes	Shakeintensity
#本行程序不读 动画ID	描述代码不用纯注释	动画名称	动画触发条件	结束后的下一动作	特效表对应ID	是否随拥有者移动(0不移动 1移动)	特效移动速度	动作持续时间	特效播放时间	连击时间	技能持续时间	是否可转向	是否可移动	玩家移动方向	攻击类型	攻击判定时间点	技能判定距离	移动时间点	移动距离	移动持续时间	击退距离	击退持续时间	浮空高度	硬直幅度	硬直时间	技能音效	命中音效	音效播放时间点	震屏时间点	震屏持续时间	震屏强度
1	战士普攻1	Skill_Pugong_01	1001	2	1	1	0	0.4	0.1	0.7	1.3	0	0	1	1	0.33	0	0.33	0.5	0.1	0.5	0.2		0.2	1	37	36	0			
2	战士普攻2	Skill_Pugong_02	1002	3	2	1	0	0.2	0.1	0.7	1.1	0	0	1	1	0.1	0							0.2	1	37	36	0			
3	战士普攻3	Skill_Pugong_03	1003	4	3	1	0	0.4	0.2	0.7	1.1	0	0	1	1	0.2	0	0.2	1	0.1				0.2	1	37	36	0			
4	战士普攻4	Skill_Pugong_04	1004	5	4	1	0	0.4	0.2	0.7	1.2	0	0	1	1	0.2	0	0.2	0.3	0.17	0.3	0.2		0.2	1	37	36	0			
5	战士普攻5	Skill_Pugong_05	1005	0	5	1	0	0.7	0.2	0.5	0.8	0	0	1	1	0.17	0	0.17	1	0.1	1	0.3		0.2	1	37	36	0			
6	战士车轮斩	Skill_Pugong_06	1008	0	6	1	0	1.1	0	0	1.2	0	0	1	1	0.31_0.11_0.12_0.11_0.13	-2_-2_-2_-2_2	0.31_0.11_0.11_0.11	0.6_0.6_0.6_0.6	0.11_0.11_0.11_0.11	0.6_0.6_0.6_0.6	0.1		0.2	0.5	49	36	0	0.77	0.3	0.3
7	战士大风车	Skill_dafengche	1006	0	7	1	0	3.6	0	0	3.8	1	1	1	3	0.3	0	0	0	0	0.1	0.1		0.2	0.5	35	36	0			
8	战士乱舞	Skill_luanwu_01	1009	0	8	1	0	2.7	0	0	2.7	1	0	1	1	0.29_0.17_0.08_0.07_0.08_0.13_0.11_0.15_0.18_0.12_0.11_0.14_0.24		1.77	1	0.23	0_0_0_0_0_0_0_0_0_0_0_0.3_0.6	0_0_0_0_0_0_0_0_0_0_0_0.2_0.2		0.2	0.5	37_37_37_37_37_37_37_37_37_37_37_37_37	36	0.29_0.17_0.08_0.07_0.08_0.13_0.11_0.15_0.18_0.12_0.11_0.14_0.24	2	0.3	0.1
9	法师黑龙波	skill_heilongbo	1006	0	9	0	0	0.5	0.2	0	2.3	0	0	1	1	0.6_0.4_0.4_0.4	0				0.1_0.1_0.1_0.1	0.1_0.1_0.1_0.1		0.5	0.3	43	36	0			
10	法师极光	skill_jiguang	1007	0	10	1	0	1.7	0	0	2	1	0	1	3	0.4	0							0.5	0.3	47	36	0	0.56	0.8	0.1
11	法师星辰之怒	skill_xingchenzhinu	1009	0	11	0	0	1	0	0	2	0	0	1	1	0.73	0				0.2	0.1		0.1	0.5	48	36	0	0.93	0.5	0.1
12	法师普攻1	skill_pugong_01	1001	13	12	0	12	0.2	0.1	0.9	1.2	0	0	1	0	0					0.3	0.2		0.8	0.5	46	36	0			
13	法师普攻2	skill_pugong_02	1002	14	13	0	12	0.25	0.1	0.75	1.1	0	0	1	0	0					0.3	0.2		0.8	0.5	46	36	0			
14	法师普攻3	skill_pugong_03	1003	15	14	0	12	0.2	0.1	0.7	1.1	0	0	1	0	0					0.3	0.2		0.8	0.5	46	36	0			
15	法师普攻4	skill_pugong_04	1004	16	15	0	12	0.2	0.1	0.7	1.1	0	0	1	0	0					0.3	0.2		0.8	0.5	46	36	0			
16	法师普攻5	skill_pugong_05	1005	0	16	0	12	0.25	0.1	0.5	1.1	0	0	1	0	0					0.3	0.2		0.8	0.5	46	36	0			
17	法师火龙术	skill_huolongshu	1010	0	17	0	0	1.2	0.4	0	5.4	0	0	1	1	0.5_1.5	0.7_0.7				0_1	0_0.3		0.2	1	44	36	0	0.5_1.5	0.3_0.5	0.1_0.2
18	法师瞬移	skill_heilongbo	1006	0	18	1	0	0.2	0.2	0	3	0	0	1	1	0.16	0							0	0	45	36	0			
19	穿透箭	skill_bingfengjian	1006	0	38	0	0	1.3	0	0	3.1	0	0	1	1	1	0				2	0.2		0.2	1		36	0	0.9	0.3	0.1
20	冰封箭	skill_chuantoujian	1008	0	39	0	0	0.7	0	0	3.5	0	0	1	1	0.5	0							0.2	0.5		36	0			
21	多重箭	skill_duochongjian	1007	0	40	0	0	1.3	0	0	1.5	0	0	1	1	0.25_0.3_0.3_0.3	0_0_0_0				0.2_0.2_0.2	0.3_0.3_0.3		0.2	0.5		36	0			
22	天堂之箭	skill_tiantangzhijian	1009	0	41	0	0	0.5	0	0	2.5	0	0	1	1	0.9_0.2_0.2_0.2_0.2_0.2_0.2_0.2	2.3_2.3_2.3_2.3_2.3_2.3_2.3_2.3							0.2	0.5		36	0			
23	雷霆裂闪	skill_leitinglieshan	1011	0	42	0	0	1.5	0	0	2.8	0	0	1	1	0.3_0.6	0_1.5				0_0.5	0_0.2		0.2	0.5		36	0	0.9	0.3	0.1
24	宠物-魔法箭	skill	0	0	43	0	0	1	0	0	0.5	0	0	1	1	0.15	0							0.2	0.5		36	0			
25	弓箭手普攻1	skill_pugong_01	1001	26	45	0	0	0.4	0	0.5	1	0	0	1	1	0.5	0							0.2	0.5		36	0			
26	弓箭手普攻2	skill_pugong_02	1002	27	45	0	0	0.4	0	0.5	1	0	0	1	1	0.5	0							0.2	0.5		36	0			
27	弓箭手普攻3	skill_pugong_03	1003	28	45	0	0	0.5	0	0.5	1.1	0	0	1	1	0.5	0							0.2	0.5		36	0			
28	弓箭手普攻4	skill_pugong_04	1004	29	45	0	0	0.5	0	0.5	1.1	0	0	1	1	0.5	0							0.2	0.5		36	0			
29	弓箭手普攻5	skill_pugong_05	1005	0	46	0	0	1.1	0	0.5	2	0	0	1	1	1	0				0_0_0_0_0.5	0_0_0_0_0.2		0.2	0.5		36	0			
99001	蜘蛛测试怪物技能	Attack	0	0		0																									
99002	幼龙测试怪物技能	Attack	0	0		0																									
99003	蛮牛怪测试怪物技能	Attack	0	0		0																				18		0			
99004	猎犬怪测试怪物技能	Attack	0	0		0																				23		0			
99005	黑巫师测试怪物技能	Attack	0	0		0																									
99006	巨人测试怪物技能	Attack	0	0		0																				30		0			
99007	骷髅兵测试怪物技能	Attack	0	0		0																				31		0			
99008	镰刀骷髅兵测试怪物技能	Attack	0	0		0																				31		0			
99009	骷髅兵测试怪物技能	Attack	0	0		0																				31		0			
99010	幽灵测试怪物技能	Attack	0	0		0																									
99011	独眼巨人测试怪物技能	Attack	0	0		0																									
99012	骷髅弓箭手测试怪物技能	Attack	0	0		0																				31		0			
99013	测试怪物技能	Attack	0	0		0																									
99014	骷髅王普攻	attack	0	0	19	0	0	2.6	0	0	3.3	0	0	1	1	0.8	2.5									53		1			
99015	骷髅王技能-回旋斩	skill_01	0	0	20	0	0	2.1	0	0	1.6	0	0	1	1	0.8_0.3	0									55		0.3			
99016	骷髅王技能-地裂斩	skill_02	0	0	21	0	0	2.6	0	0	4	0	0	1	1	1.3_0.15_0.15	4.5_8_10									54		1			
99017	寒冰魔测试技能	Attack	0	0		0																									
99018	蓝魔怪测试技能	Attack	0	0		0																									
99019	雪人测试技能	Attack	0	0		0																									
99020	雪人王测试技能	Attack	0	0		0																									
99021	冰后测试技能	Attack	0	0		0																									
