int	string	int	int	int	int	int	int	int	int	int	int	int	int	int
Id	Desc	Profession	Index	DefaultId	Profound1	Profound1UnlockLevel	Profound1Item	Profound1ItemCount	Profound1Coexist	Profound2	Profound2UnlockLevel	Profound2Item	Profound2ItemCount	Profound2Coexist
#主键	职业枚举说明	职业枚举	技能次序号,1为普攻技能,角色创建自带1级,默认装配在写死的一个技能装配位	默认技能id	奥义1技能id	奥义1解锁等级	奥义1所需道具id	奥义1所需道具数量	奥义1是否与原技能共存	奥义2技能id	奥义2解锁等级	奥义2所需道具id	奥义2所需道具数量	奥义2是否与原技能共存
1	剑士	1	1	1	0	0	0	0	0	0	0	0	0	0
2	剑士	1	2	2	0	0	0	0	0	0	0	0	0	0
3	剑士	1	3	3	0	0	0	0	0	0	0	0	0	0
4	剑士	1	4	4	0	0	0	0	0	0	0	0	0	0
5	狂战士	2	1	1	2	150	777	1	1	0	0	0	0	0
6	狂战士	2	2	2	0	0	0	0	0	0	0	0	0	0
7	狂战士	2	3	3	0	0	0	0	0	0	0	0	0	0
8	狂战士	2	4	4	0	0	0	0	0	0	0	0	0	0
9	守护骑士	3	1	1	0	0	0	0	0	0	0	0	0	0
10	守护骑士	3	2	2	0	0	0	0	0	0	0	0	0	0
11	守护骑士	3	3	3	0	0	0	0	0	0	0	0	0	0
12	守护骑士	3	4	4	0	0	0	0	0	0	0	0	0	0
13	弓手	4	5	11	0	0	0	0	0	0	0	0	0	0
14	弓手	4	2	12	0	0	0	0	0	0	0	0	0	0
15	弓手	4	3	13	0	0	0	0	0	0	0	0	0	0
16	弓手1	5	5	11	0	0	0	0	0	0	0	0	0	0
17	弓手1	5	2	12	0	0	0	0	0	0	0	0	0	0
18	弓手1	5	3	13	0	0	0	0	0	0	0	0	0	0
19	弓手2	6	5	11	0	0	0	0	0	0	0	0	0	0
20	弓手2	6	2	12	0	0	0	0	0	0	0	0	0	0
21	弓手2	6	3	13	0	0	0	0	0	0	0	0	0	0
22	法师	7	1	8	0	0	0	0	0	0	0	0	0	0
23	法师	7	2	10	0	0	0	0	0	0	0	0	0	0
24	法师	7	3	7	0	0	0	0	0	0	0	0	0	0
25	法师	7	4	5	0	0	0	0	0	0	0	0	0	0
26	法师	7	5	9	0	0	0	0	0	0	0	0	0	0
27	法师	7	6	6	0	0	0	0	0	0	0	0	0	0
28	法师1	8	1	8	0	0	0	0	0	0	0	0	0	0
29	法师1	8	2	6	0	0	0	0	0	0	0	0	0	0
30	法师1	8	3	7	0	0	0	0	0	0	0	0	0	0
31	法师1	8	4	5	0	0	0	0	0	0	0	0	0	0
32	法师1	8	5	9	0	0	0	0	0	0	0	0	0	0
33	法师1	8	6	10	0	0	0	0	0	0	0	0	0	0
34	法师2	9	1	8	0	0	0	0	0	0	0	0	0	0
35	法师2	9	2	6	0	0	0	0	0	0	0	0	0	0
36	法师2	9	3	7	0	0	0	0	0	0	0	0	0	0
37	法师2	9	4	5	0	0	0	0	0	0	0	0	0	0
38	法师2	9	5	9	0	0	0	0	0	0	0	0	0	0
39	法师2	9	6	10	0	0	0	0	0	0	0	0	0	0
40	弓手	4	4	14	0	0	0	0	0	0	0	0	0	0
41	弓手1	5	4	14	0	0	0	0	0	0	0	0	0	0
42	弓手2	6	4	14	0	0	0	0	0	0	0	0	0	0
43	战士	1	5	15	0	0	0	0	0	0	0	0	0	0
44	战士1	2	5	15	0	0	0	0	0	0	0	0	0	0
45	战士2	3	5	15	0	0	0	0	0	0	0	0	0	0
46	弓手	4	1	17	0	0	0	0	0	0	0	0	0	0
47	弓手1	5	1	17	0	0	0	0	0	0	0	0	0	0
48	弓手2	6	1	17	0	0	0	0	0	0	0	0	0	0
