int	string	string	string	string	int	int	int	int	int	int	string	string	string	string	string	string	string	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	int	float	int	int	int	int	float	int	int	int	int	int	int
Id	JobDesc	Name	Icon	Des	AutoLock	DirectionControl	Target	HitType	ColdDown	HitCount	Shape	ShapeArgument1	ShapeArgument2	Distance	RepelHits	RepelDistance	MoveHits	MoveDistance	HitDamagePercent	ArmorDamagePercent	ReliveRestrict	LastImmuneRestrict	StartAnimation	EndAnimation	SummonId	SummonLevel	AtkArgument	ArmorArgument	AtkArgumentLevelup	ArmorArgumentLevelup	StateLastTime	StateShieldResist	StateShieldHp	StateStun	StateRestrain	StateImmuneRestrict	StateInvincible	StateSneer	StateSuck	StatePercentHP	StateAtkArgument	StateAtkArgumentLevelup	StateRoleAttributeList	StateRoleAttributeChange	StateRoleAttributeValue	LastEffectsID	AreaDistance	AreaEffectTime	AreaEffectShape	AreaEffectShapeArgument	Priority	Gather	SkillTime	HitTime	DamageType	StateImmunePhysics	StateImmuneMagic	BaseBattleScore
#id	职业说明代码不用	名称	图标	静态描述	是否适用于辅助锁定	是否受玩家方向操作影响	目标(1敌,2友,3自身)	攻击生效方式	技能cd(毫秒)	技能打击数	技能形状(1矩2扇3圆4点)	形状参数1(扇形半径米矩形宽米)	形状参数2(扇形弧度矩形长米)	技能释放距离,空放时使用该距离的点作为技能释放点, 否则使用被选取目标坐标为释放点	击退攻击次数	击退距离	位移攻击次数	位移距离	每一段打击的伤害分配比例(万分之), 总和应该为10000, 分摊的是AtkArgument字段带来的伤害	每一段打击的护甲值伤害百分比	是否解除控制效果(1是0否)	技能释放时间(持续时间LastTime)内免疫控制1是0否	起始动作id	结束动作id	召唤id	召唤物初始等级	即时攻击百分比系数(万分之)对敌伤害对友治疗根据职业决定物理还是魔法	对护甲值伤害	即时攻击百分比系数(万分之)升级加值	即时攻击护甲值百分比系数(万分之)升级加值	施加状态持续时间(秒)	持续时间内魔法罩吸收伤害比例	持续时间内魔法罩吸收伤害上限	施加状态时间内眩晕	施加状态时间内定身	施加状态时间内免控	施加状态时间内无敌	施加状态时间内嘲讽	施加状态时间内吸血比例(万分之)	施加状态时间内生命上限百分比掉血(万分之)	施加状态时间内总攻击系数万分之(对敌伤害对友治疗)	施加状态时间内总攻击百分比升级系数加值	持续时间内影响角色的属性枚举列表	持续时间内影响角色的属性变化方式列表, 1百分比2绝对值, 与属性列表一一对应	持续时间内影响角色的属性数值列表, 正+负-, 与属性列表一一对应	持续效果特效	区域基准点据玩家距离	区域效果持续时间(秒)	区域效果形状(1线2圆)	区域效果形状参数1(线:长度米; 圆形:半径米)	技能释放优先级, 低优先级的技能会被高优先级技能的释放打断	吸附敌人范围	技能持续时间（毫秒）	硬直时间	1物理2魔法3跟随角色主属性	持续状态时间内物理免疫	持续状态事件内魔法免疫	技能等级基础战斗力, 最终技能战斗力 = BaseBattleScore * 技能等级
1	战士	基础剑术	SkillIconAtlas:skill_zs_normalskill_1	剑士通用普通攻击.	1	0	1	1	0	5	2_3_3_3_3	3_2.5_3_2.5_3	180_0_0_0_0	0_0_0_0_0	1_3_4_5	0.5_1_0.3_1	1_3_4_5	0.5_1_0.3_1	2000_2000_2000_2000_2000	2000_2000_2000_2000_2000	0	0	1	5	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									1			1500	3	0	0	10
2	战士	车轮斩	SkillIconAtlas:skill_zs_scroll	以风卷残云之力突击.	1	0	1	1	5000	5	1_1_1_1_3	4_4_4_4_2	4_4_4_4_0	-2_-2_-2_-2_2	1_2_3_4	0.6_0.6_0.6_0.6	1_2_3_4	0.6_0.6_0.6_0.6	1500_1500_1500_1500_4000	1900_1900_1900_1900_2400	0	0	6	6	0	0	6000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									2			1000	3	0	0	10
3	战士	大风车	SkillIconAtlas:skill_zs_dafengche	已自身为中心选装一定时间	1	0	1	1	6000	12	3_3_3_3_3_3_3_3_3_3_3_3	2.4_2.4_2.4_2.4_2.4_2.4_2.4_2.4_2.4_2.4_2.4_2.4		0_0_0_0_0_0_0_0_0_0_0_0	1_2_3_4_5_6_7_8_9_10_11_12	0.1_0.1_0.1_0.1_0.1_0.1_0.1_0.1_0.1_0.1_0.1_0.1			800_800_800_800_800_800_800_800_800_800_800_1200	800_800_800_800_800_800_800_800_800_800_800_1200	0	0	7	7	0	0	7000	5001	11	11	0	0	0	0	0	0	0	0	0	0	0	0									2			1000	3	0	0	10
4	战士	乱舞	SkillIconAtlas:skill_zs_icon_1	战士	1	0	1	1	5000	13	3_3_3_3_3_3_3_3_3_3_3_3_3	1.5_2_2_2_2_2_2_2_2_2_2_2.5_3		0.92_0.92_0.92_0.92_0.92_0.92_0.92_0.92_0.92_0.92_0.92_0_0	12_13	0.3_0.6	12	0.6	700_700_700_700_700_700_700_700_700_700_700_1150_1150	700_700_700_700_700_700_700_700_700_700_700_1150_1150	0	0	8	8	0	0	10000	5002	12	12	0	0	0	0	0	0	0	0	0	0	0	0									2			1000	3	0	0	10
5	法师	黑龙波	SkillIconAtlas:skill_fs_heilongbo	法师技能	1	0	1	1	5000	4	3_3_3_3	5.3_5.3_5.3_5.3		0_0_0_0	1_2_3_4	0.1_0.1_0.1_0.1			2500_2500_2500_2500	2500_2500_2500_2500	0	0	9	9	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									2			800	3	0	0	10
6	法师	极光	SkillIconAtlas:skill_fs_jiguang	法师技能	1	0	1	1	6000	5	1_1_1_1_1	2_2_2_2_2	7_7_7_7_7	0_0_0_0_0					2000_2000_2000_2000_2000	2000_2000_2000_2000_2000	0	0	10	10	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									2			800	3	0	0	10
7	法师	星辰之怒	SkillIconAtlas:skill_fs_xingchenzhinu	法师技能	1	0	1	1	6000	1	3	6		0	1	0.2			10000	10000	0	0	11	11	0	0	5001	5001	11	11	0	0	0	0	0	0	0	0	0	0	0	0									2			1000	3	0	0	10
8	法师	能量球	SkillIconAtlas:skill_fs_putonggongji	法师技能	1	0	1	3	0	5	3_3_3_3_3	0.5_0.5_0.5_0.5_0.5		0_0_0_0_0	1_2_3_4_5	0.3_0.3_0.3_0.3_0.3			2000_2000_2000_2000_2000	2000_2000_2000_2000_2000	0	0	12	16	0	0	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0									1			1000	3	0	0	10
