int	string	string
Id	Des	MaterialPath
#主键	描述	材质球路径
100	战士红龙王0级	Material/PlayerFlow/zs_k_honglongwang_00
101	战士红龙王1级	Material/PlayerFlow/zs_k_honglongwang_01
102	战士红龙王2级	Material/PlayerFlow/zs_k_honglongwang_02
103	战士红龙王3级	Material/PlayerFlow/zs_k_honglongwang_03
104	战士红龙王4级	Material/PlayerFlow/zs_k_honglongwang_04
105	战士红龙王5级	Material/PlayerFlow/zs_k_honglongwang_05
106	战士红龙王6级	Material/PlayerFlow/zs_k_honglongwang_06
107	战士红龙王7级	Material/PlayerFlow/zs_k_honglongwang_07
108	战士红龙王8级	Material/PlayerFlow/zs_k_honglongwang_08
109	战士红龙王9级	Material/PlayerFlow/zs_k_honglongwang_09
110	战士红龙王10级	Material/PlayerFlow/zs_k_honglongwang_10
111	战士红龙王11级	Material/PlayerFlow/zs_k_honglongwang_11
112	战士红龙王12级	Material/PlayerFlow/zs_k_honglongwang_12
113	战士红龙王13级	Material/PlayerFlow/zs_k_honglongwang_13
200	弓手女神0级	Material/PlayerFlow/gs_s_nvshen_00
201	弓手女神1级	Material/PlayerFlow/gs_s_nvshen_01
202	弓手女神2级	Material/PlayerFlow/gs_s_nvshen_02
203	弓手女神3级	Material/PlayerFlow/gs_s_nvshen_03
204	弓手女神4级	Material/PlayerFlow/gs_s_nvshen_04
205	弓手女神5级	Material/PlayerFlow/gs_s_nvshen_05
206	弓手女神6级	Material/PlayerFlow/gs_s_nvshen_06
207	弓手女神7级	Material/PlayerFlow/gs_s_nvshen_07
208	弓手女神8级	Material/PlayerFlow/gs_s_nvshen_08
209	弓手女神9级	Material/PlayerFlow/gs_s_nvshen_09
210	弓手女神10级	Material/PlayerFlow/gs_s_nvshen_10
211	弓手女神11级	Material/PlayerFlow/gs_s_nvshen_11
212	弓手女神12级	Material/PlayerFlow/gs_s_nvshen_12
213	弓手女神13级	Material/PlayerFlow/gs_s_nvshen_13
300	魔法师传说0级	Material/PlayerFlow/fs_m_chuanshuo_00
301	魔法师传说1级	Material/PlayerFlow/fs_m_chuanshuo_01
302	魔法师传说2级	Material/PlayerFlow/fs_m_chuanshuo_02
303	魔法师传说3级	Material/PlayerFlow/fs_m_chuanshuo_03
304	魔法师传说4级	Material/PlayerFlow/fs_m_chuanshuo_04
305	魔法师传说5级	Material/PlayerFlow/fs_m_chuanshuo_05
306	魔法师传说6级	Material/PlayerFlow/fs_m_chuanshuo_06
307	魔法师传说7级	Material/PlayerFlow/fs_m_chuanshuo_07
308	魔法师传说8级	Material/PlayerFlow/fs_m_chuanshuo_08
309	魔法师传说9级	Material/PlayerFlow/fs_m_chuanshuo_09
310	魔法师传说10级	Material/PlayerFlow/fs_m_chuanshuo_10
311	魔法师传说11级	Material/PlayerFlow/fs_m_chuanshuo_11
312	魔法师传说12级	Material/PlayerFlow/fs_m_chuanshuo_12
313	魔法师传说13级	Material/PlayerFlow/fs_m_chuanshuo_13
