int	int	int	int	int
Id	EquipLevelMin	EquipLevelMax	Level	Exp
#主键	法宝装备等级下限	法宝装备等级上限	法宝等级	法宝升级所需经验
1	1	300	1	100
2	1	300	2	200
3	1	300	3	300
4	1	300	4	400
5	1	300	5	500
6	1	300	6	600
7	1	300	7	700
8	1	300	8	800
9	1	300	9	900
10	1	300	10	1000
11	1	300	11	1100
12	1	300	12	1200
13	1	300	13	1300
14	1	300	14	1400
15	1	300	15	1500
16	1	300	16	1600
17	1	300	17	1700
18	1	300	18	1800
19	1	300	19	1900
20	1	300	20	2000
21	1	300	21	2100
22	1	300	22	2200
23	1	300	23	2300
24	1	300	24	2400
25	1	300	25	2500
26	1	300	26	2600
27	1	300	27	2700
28	1	300	28	2800
29	1	300	29	2900
30	1	300	30	3000
31	1	300	31	3100
32	1	300	32	3200
33	1	300	33	3300
34	1	300	34	3400
35	1	300	35	3500
36	1	300	36	3600
37	1	300	37	3700
38	1	300	38	3800
39	1	300	39	3900
40	1	300	40	4000
41	1	300	41	4100
42	1	300	42	4200
43	1	300	43	4300
44	1	300	44	4400
45	1	300	45	4500
46	1	300	46	4600
47	1	300	47	4700
48	1	300	48	4800
49	1	300	49	4900
50	1	300	50	5000
51	1	300	51	5100
52	1	300	52	5200
53	1	300	53	5300
54	1	300	54	5400
55	1	300	55	5500
56	1	300	56	5600
57	1	300	57	5700
58	1	300	58	5800
59	1	300	59	5900
60	1	300	60	6000
61	1	300	61	6100
62	1	300	62	6200
63	1	300	63	6300
64	1	300	64	6400
65	1	300	65	6500
66	1	300	66	6600
67	1	300	67	6700
68	1	300	68	6800
69	1	300	69	6900
70	1	300	70	7000
71	1	300	71	7100
72	1	300	72	7200
73	1	300	73	7300
74	1	300	74	7400
75	1	300	75	7500
76	1	300	76	7600
77	1	300	77	7700
78	1	300	78	7800
79	1	300	79	7900
80	1	300	80	8000
81	1	300	81	8100
82	1	300	82	8200
83	1	300	83	8300
84	1	300	84	8400
85	1	300	85	8500
86	1	300	86	8600
87	1	300	87	8700
88	1	300	88	8800
89	1	300	89	8900
90	1	300	90	9000
91	1	300	91	9100
92	1	300	92	9200
93	1	300	93	9300
94	1	300	94	9400
95	1	300	95	9500
96	1	300	96	9600
97	1	300	97	9700
98	1	300	98	9800
99	1	300	99	9900
100	1	300	100	10000
101	1	300	101	10100
102	1	300	102	10200
103	1	300	103	10300
104	1	300	104	10400
105	1	300	105	10500
106	1	300	106	10600
107	1	300	107	10700
108	1	300	108	10800
109	1	300	109	10900
110	1	300	110	11000
111	1	300	111	11100
112	1	300	112	11200
113	1	300	113	11300
114	1	300	114	11400
115	1	300	115	11500
116	1	300	116	11600
117	1	300	117	11700
118	1	300	118	11800
119	1	300	119	11900
120	1	300	120	12000
121	1	300	121	12100
122	1	300	122	12200
123	1	300	123	12300
124	1	300	124	12400
125	1	300	125	12500
126	1	300	126	12600
127	1	300	127	12700
128	1	300	128	12800
129	1	300	129	12900
130	1	300	130	13000
131	1	300	131	13100
132	1	300	132	13200
133	1	300	133	13300
134	1	300	134	13400
135	1	300	135	13500
136	1	300	136	13600
137	1	300	137	13700
138	1	300	138	13800
139	1	300	139	13900
140	1	300	140	14000
141	1	300	141	14100
142	1	300	142	14200
143	1	300	143	14300
144	1	300	144	14400
145	1	300	145	14500
146	1	300	146	14600
147	1	300	147	14700
148	1	300	148	14800
149	1	300	149	14900
150	1	300	150	15000
151	1	300	151	15100
152	1	300	152	15200
153	1	300	153	15300
154	1	300	154	15400
155	1	300	155	15500
156	1	300	156	15600
157	1	300	157	15700
158	1	300	158	15800
159	1	300	159	15900
160	1	300	160	16000
161	1	300	161	16100
162	1	300	162	16200
163	1	300	163	16300
164	1	300	164	16400
165	1	300	165	16500
166	1	300	166	16600
167	1	300	167	16700
168	1	300	168	16800
169	1	300	169	16900
170	1	300	170	17000
171	1	300	171	17100
172	1	300	172	17200
173	1	300	173	17300
174	1	300	174	17400
175	1	300	175	17500
176	1	300	176	17600
177	1	300	177	17700
178	1	300	178	17800
179	1	300	179	17900
180	1	300	180	18000
181	1	300	181	18100
182	1	300	182	18200
183	1	300	183	18300
184	1	300	184	18400
185	1	300	185	18500
186	1	300	186	18600
187	1	300	187	18700
188	1	300	188	18800
189	1	300	189	18900
190	1	300	190	19000
191	1	300	191	19100
192	1	300	192	19200
193	1	300	193	19300
194	1	300	194	19400
195	1	300	195	19500
196	1	300	196	19600
197	1	300	197	19700
198	1	300	198	19800
199	1	300	199	19900
200	1	300	200	20000
201	1	300	201	20100
202	1	300	202	20200
203	1	300	203	20300
204	1	300	204	20400
205	1	300	205	20500
206	1	300	206	20600
207	1	300	207	20700
208	1	300	208	20800
209	1	300	209	20900
210	1	300	210	21000
211	1	300	211	21100
212	1	300	212	21200
213	1	300	213	21300
214	1	300	214	21400
215	1	300	215	21500
216	1	300	216	21600
217	1	300	217	21700
218	1	300	218	21800
219	1	300	219	21900
220	1	300	220	22000
221	1	300	221	22100
222	1	300	222	22200
223	1	300	223	22300
224	1	300	224	22400
225	1	300	225	22500
226	1	300	226	22600
227	1	300	227	22700
228	1	300	228	22800
229	1	300	229	22900
230	1	300	230	23000
231	1	300	231	23100
232	1	300	232	23200
233	1	300	233	23300
234	1	300	234	23400
235	1	300	235	23500
236	1	300	236	23600
237	1	300	237	23700
238	1	300	238	23800
239	1	300	239	23900
240	1	300	240	24000
241	1	300	241	24100
242	1	300	242	24200
243	1	300	243	24300
244	1	300	244	24400
245	1	300	245	24500
246	1	300	246	24600
247	1	300	247	24700
248	1	300	248	24800
249	1	300	249	24900
250	1	300	250	25000
251	1	300	251	25100
252	1	300	252	25200
253	1	300	253	25300
254	1	300	254	25400
255	1	300	255	25500
256	1	300	256	25600
257	1	300	257	25700
258	1	300	258	25800
259	1	300	259	25900
260	1	300	260	26000
261	1	300	261	26100
262	1	300	262	26200
263	1	300	263	26300
264	1	300	264	26400
265	1	300	265	26500
266	1	300	266	26600
267	1	300	267	26700
268	1	300	268	26800
269	1	300	269	26900
270	1	300	270	27000
271	1	300	271	27100
272	1	300	272	27200
273	1	300	273	27300
274	1	300	274	27400
275	1	300	275	27500
276	1	300	276	27600
277	1	300	277	27700
278	1	300	278	27800
279	1	300	279	27900
280	1	300	280	28000
281	1	300	281	28100
282	1	300	282	28200
283	1	300	283	28300
284	1	300	284	28400
285	1	300	285	28500
286	1	300	286	28600
287	1	300	287	28700
288	1	300	288	28800
289	1	300	289	28900
290	1	300	290	29000
291	1	300	291	29100
292	1	300	292	29200
293	1	300	293	29300
294	1	300	294	29400
295	1	300	295	29500
296	1	300	296	29600
297	1	300	297	29700
298	1	300	298	29800
299	1	300	299	29900
300	1	300	300	30000
