int	int	int	int
Id	ExpStep1	ExpStep2	ExpStep3
#主键	100%经验条件值	50%经验条件值	25%经验条件值
1	17148	8574	4287
2	17148	8574	4287
3	17148	8574	4287
4	17148	8574	4287
5	17148	8574	4287
6	17148	8574	4287
7	17148	8574	4287
8	17148	8574	4287
9	17148	8574	4287
10	17148	8574	4287
11	17148	8574	4287
12	17148	8574	4287
13	17148	8574	4287
14	17148	8574	4287
15	17148	8574	4287
16	17148	8574	4287
17	17148	8574	4287
18	17148	8574	4287
19	17148	8574	4287
20	17148	8574	4287
21	17148	8574	4287
22	17148	8574	4287
23	17148	8574	4287
24	17148	8574	4287
25	17148	8574	4287
26	17148	8574	4287
27	17148	8574	4287
28	17148	8574	4287
29	17148	8574	4287
30	17148	8574	4287
31	17148	8574	4287
32	17148	8574	4287
33	17148	8574	4287
34	17148	8574	4287
35	17148	8574	4287
36	17148	8574	4287
37	17148	8574	4287
38	17148	8574	4287
39	17148	8574	4287
40	17148	8574	4287
41	17148	8574	4287
42	17148	8574	4287
43	17148	8574	4287
44	17148	8574	4287
45	17148	8574	4287
46	17148	8574	4287
47	28571	14285	7142
48	28571	14285	7142
49	28571	14285	7142
50	28571	14285	7142
51	28571	14285	7142
52	28571	14285	7142
53	28571	14285	7142
54	28571	14285	7142
55	28571	14285	7142
56	45714	22857	11428
57	45714	22857	11428
58	45714	22857	11428
59	45714	22857	11428
60	45714	22857	11428
61	45714	22857	11428
62	45714	22857	11428
63	45714	22857	11428
64	45714	22857	11428
65	68572	34286	17143
66	68572	34286	17143
67	68572	34286	17143
68	68572	34286	17143
69	68572	34286	17143
70	68572	34286	17143
71	68572	34286	17143
72	68572	34286	17143
73	68572	34286	17143
74	102857	51428	25714
75	102857	51428	25714
76	102857	51428	25714
77	102857	51428	25714
78	102857	51428	25714
79	102857	51428	25714
80	102857	51428	25714
81	102857	51428	25714
82	102857	51428	25714
83	174546	43636	21818
84	174546	43636	21818
85	174546	43636	21818
86	174546	43636	21818
87	174546	43636	21818
88	174546	43636	21818
89	174546	43636	21818
90	174546	43636	21818
91	174546	43636	21818
92	218182	54545	27272
93	218182	54545	27272
94	218182	54545	27272
95	218182	54545	27272
96	218182	54545	27272
97	218182	54545	27272
98	218182	54545	27272
99	218182	54545	27272
100	218182	54545	27272
101	265241	66310	33155
102	265241	66310	33155
103	265241	66310	33155
104	265241	66310	33155
105	265241	66310	33155
106	273798	68449	34224
107	273798	68449	34224
108	273798	68449	34224
109	273798	68449	34224
110	273798	68449	34224
111	282355	70588	35294
112	282355	70588	35294
113	282355	70588	35294
114	282355	70588	35294
115	282355	70588	35294
116	290912	72728	36364
117	290912	72728	36364
118	290912	72728	36364
119	290912	72728	36364
120	290912	72728	36364
121	299469	74867	37433
122	299469	74867	37433
123	299469	74867	37433
124	299469	74867	37433
125	299469	74867	37433
126	308026	77006	38503
127	308026	77006	38503
128	308026	77006	38503
129	308026	77006	38503
130	308026	77006	38503
131	316583	79145	39572
132	316583	79145	39572
133	316583	79145	39572
134	316583	79145	39572
135	316583	79145	39572
136	357818	89454	44727
137	357818	89454	44727
138	357818	89454	44727
139	357818	89454	44727
140	427636	106909	53454
141	427636	106909	53454
142	427636	106909	53454
143	427636	106909	53454
144	543050	135762	67881
145	543050	135762	67881
146	543050	135762	67881
147	601291	150322	75161
148	601291	150322	75161
149	601291	150322	75161
150	659533	164883	82441
151	659533	164883	82441
152	659533	164883	82441
153	717774	179443	89721
154	717774	179443	89721
155	717774	179443	89721
156	776016	194004	97002
157	776016	194004	97002
158	776016	194004	97002
159	1163096	290774	145387
160	1163096	290774	145387
161	1163096	290774	145387
162	1170202	292550	146275
163	1170202	292550	146275
164	1170202	292550	146275
165	1177309	294327	147163
166	1177309	294327	147163
167	1177309	294327	147163
168	1184416	296104	148052
169	1184416	296104	148052
170	1184416	296104	148052
171	1191523	297880	148940
172	1191523	297880	148940
173	1191523	297880	148940
174	1198630	299657	149828
175	1198630	299657	149828
176	1198630	299657	149828
177	1205736	301434	150717
178	1205736	301434	150717
179	1205736	301434	150717
180	1532549	383137	191568
181	1532549	383137	191568
182	1532549	383137	191568
183	1541180	385295	192647
184	1541180	385295	192647
185	1541180	385295	192647
186	1549811	387452	193726
187	1549811	387452	193726
188	1549811	387452	193726
189	1558441	389610	194805
190	1558441	389610	194805
191	1558441	389610	194805
192	1567072	391768	195884
193	1567072	391768	195884
194	1567072	391768	195884
195	1575703	393925	196962
196	1575703	393925	196962
197	1575703	393925	196962
198	1584334	396083	198041
199	1584334	396083	198041
200	1584334	396083	198041
201	1605292	802646	200661
202	1605292	802646	200661
203	1605292	802646	200661
204	1613785	806892	201723
205	1613785	806892	201723
206	1613785	806892	201723
207	1622277	811138	202784
208	1622277	811138	202784
209	1622277	811138	202784
210	1630770	815385	203846
211	1630770	815385	203846
212	1630770	815385	203846
213	1639263	819631	204907
214	1639263	819631	204907
215	1639263	819631	204907
216	1647755	823877	205969
217	1647755	823877	205969
218	1647755	823877	205969
219	1656248	828124	207031
220	1656248	828124	207031
221	1656248	828124	207031
222	2010820	1005410	251352
223	2010820	1005410	251352
224	2010820	1005410	251352
225	2021866	1010933	252733
226	2021866	1010933	252733
227	2021866	1010933	252733
228	2032912	1016456	254114
229	2032912	1016456	254114
230	2032912	1016456	254114
231	2043958	1021979	255494
232	2043958	1021979	255494
233	2043958	1021979	255494
234	2055004	1027502	256875
235	2055004	1027502	256875
236	2055004	1027502	256875
237	2066049	1033024	258256
238	2066049	1033024	258256
239	2066049	1033024	258256
240	2077095	1038547	259636
241	2077095	1038547	259636
242	2077095	1038547	259636
243	1995428	997714	498857
244	1995428	997714	498857
245	1995428	997714	498857
246	2046857	1023428	511714
247	2046857	1023428	511714
248	2046857	1023428	511714
249	2060919	1030459	515229
250	2060919	1030459	515229
251	2076027	1038013	519006
252	2076027	1038013	519006
253	2091135	1045567	522783
254	2091135	1045567	522783
255	2106242	1053121	526560
256	2106242	1053121	526560
257	2121350	1060675	530337
258	2121350	1060675	530337
259	2853335	1426667	713333
260	2853335	1426667	713333
261	2860046	1430023	715011
262	2860046	1430023	715011
263	2866758	1433379	716689
264	2866758	1433379	716689
265	2873469	1436734	718367
266	2873469	1436734	718367
267	2880181	1440090	720045
268	2880181	1440090	720045
269	2886892	1443446	721723
270	2886892	1443446	721723
271	2893604	1446802	723401
272	2893604	1446802	723401
273	3904779	1301593	650796
274	3904779	1301593	650796
275	3914298	1304766	652383
276	3914298	1304766	652383
277	3923816	1307938	653969
278	3923816	1307938	653969
279	3933334	1311111	655555
280	3933334	1311111	655555
281	3942853	1314284	657142
282	3942853	1314284	657142
283	3952371	1317457	658728
284	3952371	1317457	658728
285	3961890	1320630	660315
286	3961890	1320630	660315
287	4563333	1521111	760555
288	4566031	1522010	761005
289	4568730	1522910	761455
290	4571428	1523809	761904
291	4574127	1524709	762354
292	4576826	1525608	762804
293	4579524	1526508	763254
294	4800000	1600000	800000
295	5102222	1700740	850370
296	5404444	1801481	900740
297	5706666	1902222	951111
298	6008889	2002963	1001481
299	6311111	2103703	1051851
300	6311111	2103703	1051851
